N° RECETA	BATCH	LITERAL 	FÓRMULA	INGREDIENTE	CANTIDAD	BATERIA	CONTROLADOR	TOLVA
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	CERTILLUS	0	B2	C4	M2
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	NUCLEO BETAS 	0	B2	C4	M3
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	NUCLEO SAN CARLOS Y COMPÁS	0	B2	C4	M4
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	ISOFERM 	16.992	B2	C5	M1
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	NA	0	B2	C5	M2
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	NA	0	B2	C5	M3
9	250	IAV-02-008	RETO NUTRITEK FENIX ISOFERM	NA	0	B2	C5	M4
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	TRIKI TRAKES	85.3584	B1	C1	M1
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	CALCIO	100	B1	C1	M2
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	SAL MOLIDA	104.816	B1	C1	M3
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	ORTOFOSFATO 21%	31.8728	B1	C1	M4
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	OXIDO MAGNESIO NP	91.06515	B1	C2	M1
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	BICARBONATO SODIO	0	B1	C2	M2
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	CALSEA POWER	0	B1	C2	M3
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	REDMOND (OTO)	0	B1	C2	M4
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	SESQUICARBONATO	0	B2	C3	M1
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	CARRIER 3%	0	B2	C3	M2
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	UREA	0	B2	C3	M3
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	AVAILA DAIRY	0	B2	C3	M4
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	NOTOX REPRODUCTION	0	B2	C4	M1
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	CERTILLUS	0	B2	C4	M2
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	NUCLEO BETAS 	0	B2	C4	M3
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	NUCLEO SAN CARLOS Y COMPÁS	0	B2	C4	M4
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	ISOFERM 	0	B2	C5	M1
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	NA	0	B2	C5	M2
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	NA	0	B2	C5	M3
10	500	IAU-04-005	BECERRAS DE 5-9 MESES	NA	0	B2	C5	M4
11	250	IAU-24-007	ENGORDA ESMERALDA	TRIKI TRAKES	21.846675	B1	C1	M1
11	250	IAU-24-007	ENGORDA ESMERALDA	CALCIO	67.5	B1	C1	M2
11	250	IAU-24-007	ENGORDA ESMERALDA	SAL MOLIDA	33.77395	B1	C1	M3
11	250	IAU-24-007	ENGORDA ESMERALDA	ORTOFOSFATO 21%	0	B1	C1	M4
11	250	IAU-24-007	ENGORDA ESMERALDA	OXIDO MAGNESIO NP	21.308225	B1	C2	M1
11	250	IAU-24-007	ENGORDA ESMERALDA	BICARBONATO SODIO	19.6996	B1	C2	M2
11	250	IAU-24-007	ENGORDA ESMERALDA	CALSEA POWER	0	B1	C2	M3
11	250	IAU-24-007	ENGORDA ESMERALDA	REDMOND (OTO)	0	B1	C2	M4
11	250	IAU-24-007	ENGORDA ESMERALDA	SESQUICARBONATO	0	B2	C3	M1
11	250	IAU-24-007	ENGORDA ESMERALDA	CARRIER 3%	0	B2	C3	M2
11	250	IAU-24-007	ENGORDA ESMERALDA	UREA	0	B2	C3	M3
11	250	IAU-24-007	ENGORDA ESMERALDA	AVAILA DAIRY	0	B2	C3	M4
11	250	IAU-24-007	ENGORDA ESMERALDA	NOTOX REPRODUCTION	0	B2	C4	M1
11	250	IAU-24-007	ENGORDA ESMERALDA	CERTILLUS	0	B2	C4	M2
11	250	IAU-24-007	ENGORDA ESMERALDA	NUCLEO BETAS 	0	B2	C4	M3
11	250	IAU-24-007	ENGORDA ESMERALDA	NUCLEO SAN CARLOS Y COMPÁS	0	B2	C4	M4
11	250	IAU-24-007	ENGORDA ESMERALDA	ISOFERM 	0	B2	C5	M1
11	250	IAU-24-007	ENGORDA ESMERALDA	NA	0	B2	C5	M2
11	250	IAU-24-007	ENGORDA ESMERALDA	NA	0	B2	C5	M3
11	250	IAU-24-007	ENGORDA ESMERALDA	NA	0	B2	C5	M4
12	250	IAX-24-007	ENGORDA VILLA VERDE	TRIKI TRAKES	25.5	B1	C1	M1
12	250	IAX-24-007	ENGORDA VILLA VERDE	CALCIO	72.241325	B1	C1	M2
12	250	IAX-24-007	ENGORDA VILLA VERDE	SAL MOLIDA	33.9458	B1	C1	M3
12	250	IAX-24-007	ENGORDA VILLA VERDE	ORTOFOSFATO 21%	22.630375	B1	C1	M4
12	250	IAX-24-007	ENGORDA VILLA VERDE	OXIDO MAGNESIO NP	19.801875	B1	C2	M1
12	250	IAX-24-007	ENGORDA VILLA VERDE	BICARBONATO SODIO	0	B1	C2	M2
12	250	IAX-24-007	ENGORDA VILLA VERDE	CALSEA POWER	0	B1	C2	M3
12	250	IAX-24-007	ENGORDA VILLA VERDE	REDMOND (OTO)	0	B1	C2	M4
12	250	IAX-24-007	ENGORDA VILLA VERDE	SESQUICARBONATO	0	B2	C3	M1
12	250	IAX-24-007	ENGORDA VILLA VERDE	CARRIER 3%	0	B2	C3	M2
12	250	IAX-24-007	ENGORDA VILLA VERDE	UREA	0	B2	C3	M3
12	250	IAX-24-007	ENGORDA VILLA VERDE	AVAILA DAIRY	0	B2	C3	M4
12	250	IAX-24-007	ENGORDA VILLA VERDE	NOTOX REPRODUCTION	0	B2	C4	M1
12	250	IAX-24-007	ENGORDA VILLA VERDE	CERTILLUS	0	B2	C4	M2
